Date,cash
2023-04-13,979181.6160869533
2023-04-14,979500.9307980082
2023-04-17,979500.9307980082
2023-04-18,979672.5766159461
2023-04-19,979273.7682476324
2023-04-20,979273.7682476324
2023-04-21,979457.8892910574
2023-04-24,978749.8742726888
2023-04-25,979444.7480025336
2023-04-26,979138.0990195341
2023-04-27,979664.352952935
2023-04-28,979347.1928625955
2023-05-01,979130.0568430452
2023-05-02,978348.3848784459
2023-05-03,978537.3625209668
2023-05-04,978518.8661405491
2023-05-05,978708.6856440922
2023-05-08,978896.2442823008
2023-05-09,978184.2715695518
2023-05-10,978184.2715695518
2023-05-11,978464.5585890422
2023-05-12,978464.5585890422
2023-05-15,978464.5585890422
2023-05-16,978142.8755895562
2023-05-17,978221.554039407
2023-05-18,978221.554039407
2023-05-19,978405.0655091611
2023-05-22,977852.8733911047
2023-05-23,978008.8870533138
2023-05-24,978008.8870533138
2023-05-25,977919.7950376564
2023-05-26,978080.83660198
2023-05-30,978080.83660198
2023-05-31,978080.83660198
2023-06-01,978080.83660198
2023-06-02,978173.2002215901
2023-06-05,978173.2002215901
2023-06-06,977756.25895822
2023-06-07,978098.7595221786
2023-06-08,977430.8560279906
2023-06-09,977870.0566865565
2023-06-12,978277.1573223043
2023-06-13,977679.8975539067
2023-06-14,978039.1687205321
2023-06-15,978038.1188607046
2023-06-16,978189.5174494641
2023-06-20,978277.1137349113
2023-06-21,978545.4506842637
2023-06-22,977792.6368502753
2023-06-23,978032.4483141465
2023-06-26,978205.495161397
2023-06-27,978442.6819995258
2023-06-28,978442.6819995258
2023-06-29,978200.2289098105
2023-06-30,978449.6899197432
2023-07-03,978199.0867503893
2023-07-05,978199.0867503893
2023-07-06,978356.7798090867
2023-07-07,978446.795912948
2023-07-10,978446.795912948
2023-07-11,978446.795912948
2023-07-12,978446.795912948
2023-07-13,978446.795912948
2023-07-14,978355.5851846398
2023-07-17,978609.0508807326
2023-07-18,978518.1225278649
2023-07-19,978609.9494332927
2023-07-20,978360.4656695846
2023-07-21,978542.5181544835
2023-07-24,978799.3870561568
2023-07-25,978799.3870561568
2023-07-26,978285.178034074
2023-07-27,978465.4717562862
2023-07-28,977763.9261832229
2023-07-31,977946.1485625572
2023-08-01,977950.6806075177
2023-08-02,978741.3154459058
2023-08-03,978646.4849998469
2023-08-04,978120.6395581153
2023-08-07,977770.4908570976
2023-08-08,977770.4908570976
2023-08-09,978384.5566099614
2023-08-10,977676.139754144
2023-08-11,978380.9615288668
2023-08-14,978380.9615288668
2023-08-15,978631.727308078
2023-08-16,978456.0343841916
2023-08-17,978631.2116947712
2023-08-18,978539.6282122255
2023-08-21,978969.6124883324
2023-08-22,978969.6124883324
2023-08-23,978441.188119626
2023-08-24,979040.0642470242
2023-08-25,978589.0691145337
2023-08-28,978767.0744462261
2023-08-29,978500.8167584983
2023-08-30,978681.0105598493
2023-08-31,978681.0105598493
2023-09-01,978857.4272245865
2023-09-05,978857.4272245865
2023-09-06,979107.9062141135
2023-09-07,979359.1328476756
2023-09-08,979432.7413468668
2023-09-11,979432.7413468668
2023-09-12,979432.7413468668
2023-09-13,979432.7413468668
2023-09-14,979432.7413468668
2023-09-15,979432.7413468668
2023-09-18,979432.7413468668
2023-09-19,979617.5897399989
2023-09-20,979503.5364353231
2023-09-21,979646.4021984112
2023-09-22,979824.8971773938
2023-09-25,979824.8971773938
2023-09-26,979824.8971773938
